OBSID,Real Label,Pred Label,Probabilities
0862760201,0,0,"[0.898786187171936, 0.10121375322341919]"
0124710801,1,1,"[3.037742279943245e-11, 1.0]"
0401360101,0,0,"[0.898786187171936, 0.10121375322341919]"
0510011501,0,1,"[9.95331765653001e-28, 1.0]"
0657820101,0,0,"[0.898786187171936, 0.10121375322341919]"
0306630101,0,0,"[0.8994203209877014, 0.10057970136404037]"
0603260201,0,1,"[1.4756449672859162e-05, 0.9999852180480957]"
0831790701,1,1,"[6.529863275661048e-20, 1.0]"
0093641601,0,0,"[0.898786187171936, 0.10121375322341919]"
0500730201,0,0,"[0.898786187171936, 0.10121375322341919]"
0861910201,1,1,"[4.466035288981651e-13, 1.0]"
0200670401,0,0,"[0.898786187171936, 0.10121375322341919]"
0145800101,0,0,"[0.8358670473098755, 0.16413289308547974]"
0870830201,0,0,"[0.898786187171936, 0.10121375322341919]"
0551450101,0,0,"[0.898786187171936, 0.10121375322341919]"
0411980101,0,0,"[0.898786187171936, 0.10121375322341919]"
0851180401,1,1,"[1.6531594971121383e-17, 1.0]"
0112551701,0,0,"[0.898786187171936, 0.10121375322341919]"
0805080401,0,0,"[0.898786187171936, 0.10121375322341919]"
0200670301,0,0,"[0.898786187171936, 0.10121375322341919]"
0411980401,1,0,"[0.8997726440429688, 0.10022742301225662]"
0500730101,0,0,"[0.898786187171936, 0.10121375322341919]"
0761630301,0,0,"[0.7483947277069092, 0.2516052722930908]"
0784510301,0,0,"[0.898786187171936, 0.10121375322341919]"
0311190101,0,0,"[0.898786187171936, 0.10121375322341919]"
0893810501,1,1,"[1.8162365058096985e-13, 1.0]"
0864330301,0,0,"[0.898786187171936, 0.10121375322341919]"
0803670601,0,0,"[0.898786187171936, 0.10121375322341919]"
0864560101,1,1,"[9.440622589229619e-11, 1.0]"
0112550601,0,0,"[0.90048748254776, 0.09951257705688477]"
0551870401,0,0,"[0.9003314971923828, 0.099668487906456]"
0864330401,0,0,"[0.898786187171936, 0.10121375322341919]"
0861910301,1,0,"[0.8999571800231934, 0.10004281252622604]"
0794581201,0,0,"[0.898786187171936, 0.10121375322341919]"
0200670201,0,1,"[1.1858658639439768e-26, 1.0]"
0306630201,0,0,"[0.898786187171936, 0.10121375322341919]"
0864330201,0,0,"[0.898786187171936, 0.10121375322341919]"
0761630101,0,1,"[3.118147287750617e-05, 0.9999687671661377]"
0805080501,0,0,"[0.898786187171936, 0.10121375322341919]"
0842340201,0,0,"[0.898786187171936, 0.10121375322341919]"
0111790101,0,0,"[0.898786187171936, 0.10121375322341919]"
0761630201,0,1,"[0.1489916741847992, 0.8510083556175232]"
0740960101,0,0,"[0.898786187171936, 0.10121375322341919]"
0152170501,0,0,"[0.898786187171936, 0.10121375322341919]"
0200920101,0,0,"[0.5820596814155579, 0.41794031858444214]"
0803671001,0,0,"[0.898786187171936, 0.10121375322341919]"
0093641701,0,0,"[0.898786187171936, 0.10121375322341919]"
0401360201,0,0,"[0.898786187171936, 0.10121375322341919]"
0851180501,1,1,"[2.625928397337031e-16, 1.0]"
0864330101,1,1,"[0.4498941898345947, 0.55010586977005]"
0803670501,0,0,"[0.898786187171936, 0.10121375322341919]"
0651790201,0,0,"[0.8998803496360779, 0.10011962056159973]"
0551870601,0,0,"[0.898786187171936, 0.10121375322341919]"
0870830301,0,0,"[0.898786187171936, 0.10121375322341919]"
0304190101,0,1,"[6.530648904923481e-16, 1.0]"
0556090101,0,0,"[0.898786187171936, 0.10121375322341919]"
0823680101,1,1,"[1.0012219121813791e-14, 1.0]"
0872390101,1,1,"[3.1418010215140896e-19, 1.0]"
0870830401,0,0,"[0.898786187171936, 0.10121375322341919]"
0200670101,0,1,"[6.046658774602382e-25, 1.0]"
0870830101,0,0,"[0.898786187171936, 0.10121375322341919]"
0790650101,0,0,"[0.898786187171936, 0.10121375322341919]"
0401360301,0,0,"[0.898786187171936, 0.10121375322341919]"
0691570101,0,0,"[0.898786187171936, 0.10121375322341919]"
0803671101,0,0,"[0.9003875255584717, 0.0996125191450119]"
0891800601,0,0,"[0.7982058525085449, 0.2017941176891327]"
0725200301,0,0,"[0.898786187171936, 0.10121375322341919]"
0093641501,0,0,"[0.9022493958473206, 0.09775059670209885]"
0725200101,0,0,"[0.898786187171936, 0.10121375322341919]"
